lambda,timeout,B,time,probability_sum,p_buffer_0,p_buffer_1,p_buffer_2,p_buffer_3,p_broker_busy,p_timer_active,average_buffer,average_in_service,effective_arrival_rate,batch_completion_rate,message_completion_rate,cumulative_batches,cumulative_messages
0.25,3,3,0.0,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.250000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.25,3,3,0.5,1.000000000000,0.882496902585,0.117503097415,0.000000000000,0.000000000000,0.000000000000,0.117503097415,0.117503097415,0.000000000000,0.250000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.25,3,3,1.0,1.000000000000,0.779645746034,0.207392239026,0.012962014939,0.000000000000,0.000844962963,0.220354253966,0.233316268905,0.002534888889,0.250000000000,0.000844962963,0.002534888889,0.000211240741,0.000633722222
0.25,3,3,1.5,1.000000000000,0.691070135677,0.274613050217,0.034316814105,0.000000000000,0.003545244758,0.308929864323,0.343246678428,0.010635734275,0.250000000000,0.003545244758,0.010635734275,0.001308792671,0.003926378013
0.25,3,3,2.0,1.000000000000,0.615959108151,0.323462921372,0.060577627933,0.000000342545,0.008232180218,0.384040891849,0.444619204872,0.024696540655,0.249999914364,0.008232180218,0.024696540655,0.004253148915,0.012759446746
0.25,3,3,2.5,1.000000000000,0.553217314737,0.357639066962,0.089141447293,0.000002171008,0.014605760258,0.446782685263,0.535928474572,0.043817280775,0.249999457248,0.014605760258,0.043817280775,0.009962634034,0.029887902103
0.25,3,3,3.0,1.000000000000,0.501588815778,0.380284920039,0.118118972233,0.000007291950,0.022195818930,0.498411184222,0.616544740354,0.066587456791,0.249998177013,0.022195818930,0.066587456791,0.019163028832,0.057489086495
0.25,3,3,3.5,1.000000000000,0.556886845735,0.338534324490,0.104561260339,0.000017569435,0.127640175794,0.443113154265,0.547709553474,0.230283061460,0.249995607641,0.127640175794,0.230283061460,0.056622027513,0.131706716057
0.25,3,3,4.0,1.000000000000,0.594934597654,0.312148555981,0.092882491097,0.000034355268,0.180542819021,0.405065402346,0.498016603979,0.311038114539,0.249991411183,0.180542819021,0.311038114539,0.133667776216,0.267037010057
0.25,3,3,4.5,1.000000000000,0.617936245737,0.298010577758,0.083955608507,0.000097567998,0.201932239315,0.382059844117,0.466214498765,0.342274196390,0.249975608001,0.201932239315,0.342274196390,0.229286540800,0.430365087790
0.25,3,3,5.0,1.000000000000,0.628622448084,0.292915125977,0.078231925539,0.000230500400,0.205260943078,0.371359067707,0.450070478256,0.345504497013,0.249942374900,0.205260943078,0.345504497013,0.331084836398,0.602309761140
0.25,3,3,5.5,1.000000000000,0.629801861173,0.293997776082,0.075788974004,0.000411388741,0.199040334760,0.370150215234,0.446809890311,0.334451216876,0.249897152815,0.199040334760,0.334451216876,0.432160155858,0.772298689613
0.25,3,3,6.0,1.000000000000,0.624076044501,0.298901322100,0.076420273952,0.000602359447,0.188530724930,0.375830873507,0.453548948344,0.317615341733,0.249849410138,0.188530724930,0.317615341733,0.529052920780,0.935315329265
0.25,3,3,6.5,1.000000000000,0.613695981999,0.305801759007,0.079730728488,0.000771530506,0.176864597492,0.386151771643,0.467577807501,0.300012606574,0.249807117373,0.176864597492,0.300012606574,0.620401751386,1.089722316342
0.25,3,3,7.0,1.000000000000,0.607604948141,0.309312510469,0.082181625115,0.000900916276,0.172892050615,0.391723339529,0.476378509526,0.294505927009,0.249774770931,0.172892050615,0.294505927009,0.707840913413,1.238351949738
0.25,3,3,7.5,1.000000000000,0.605339298980,0.310153606873,0.083519002659,0.000988091489,0.173609494480,0.393467984110,0.480155886656,0.296191953459,0.249752977128,0.173609494480,0.296191953459,0.794466299687,1.386026419855
0.25,3,3,8.0,1.000000000000,0.605693394736,0.309387804028,0.083879379124,0.001039422113,0.176402269906,0.392737412476,0.480264828613,0.300908032256,0.249740144472,0.176402269906,0.300908032256,0.881969240783,1.535301416283
0.25,3,3,8.5,1.000000000000,0.607379896233,0.307977611085,0.083575969281,0.001066523402,0.179467100451,0.390834576992,0.478329119851,0.305838953149,0.249733369150,0.179467100451,0.305838953149,0.970936583372,1.686988162634
0.25,3,3,9.0,1.000000000000,0.609324967747,0.306626722670,0.082967699938,0.001080609645,0.181777338432,0.388802494523,0.475803951481,0.309436110645,0.249729847589,0.181777338432,0.309436110645,1.061247693093,1.840806928583
0.25,3,3,9.5,1.000000000000,0.610764775392,0.305761527567,0.082384200672,0.001089496369,0.182897143972,0.387364432987,0.473798418017,0.311104240807,0.249727625908,0.182897143972,0.311104240807,1.152416313694,1.995942016446
0.25,3,3,10.0,1.000000000000,0.611241293965,0.305573622207,0.082087920647,0.001097163181,0.182779680500,0.386942410985,0.473040953045,0.310865108049,0.249725709205,0.182779680500,0.310865108049,1.243835519812,2.151434353660
0.25,3,3,10.5,1.000000000000,0.611071129632,0.305785871461,0.082038325826,0.001104673080,0.182117727599,0.387159714478,0.473176542355,0.309819296352,0.249723831730,0.182117727599,0.309819296352,1.335059871836,2.306605454760
0.25,3,3,11.0,1.000000000000,0.610621073615,0.306130552424,0.082136746472,0.001111627488,0.181417705802,0.387631496126,0.473738927833,0.308750978021,0.249722093128,0.181417705802,0.308750978021,1.425943730187,2.461248023353
0.25,3,3,11.5,1.000000000000,0.610171816248,0.306427291795,0.082283657046,0.001117234912,0.180942660473,0.388079466585,0.474346310622,0.308053626477,0.249720691272,0.180942660473,0.308053626477,1.516533821755,2.615449174478
0.25,3,3,12.0,1.000000000000,0.609877824896,0.306593871648,0.082407262369,0.001121041087,0.180758223923,0.388358695013,0.474771519646,0.307811456226,0.249719739728,0.180758223923,0.307811456226,1.606959042854,2.769415445154
0.25,3,3,12.5,1.000000000000,0.609778299298,0.306625946962,0.082472636178,0.001123117563,0.180806859147,0.388439757438,0.474940572006,0.307921457634,0.249719220609,0.180806859147,0.307921457634,1.697350313622,2.923348673619
0.25,3,3,13.0,1.000000000000,0.609829473853,0.306567403070,0.082479213159,0.001123909918,0.180975387516,0.388373621113,0.474897559141,0.308201887010,0.249719022521,0.180975387516,0.308201887010,1.787795875287,3.077379509780
0.25,3,3,13.5,1.000000000000,0.609940851698,0.306482737283,0.082452428114,0.001123982905,0.181143520545,0.388254834785,0.474759542225,0.308468549424,0.249719004274,0.181143520545,0.308468549424,1.878325602303,3.231547118888
0.25,3,3,14.0,1.000000000000,0.610044343132,0.306414628587,0.082417216993,0.001123811288,0.181250339148,0.388150450157,0.474620496438,0.308632235873,0.249719047178,0.181250339148,0.308632235873,1.968924067226,3.385822315213
0.25,3,3,14.5,1.000000000000,0.610106565632,0.306379858413,0.082389891579,0.001123684376,0.181285761713,0.388090971316,0.474530694698,0.308682500001,0.249719078906,0.181285761713,0.308682500001,2.059558092441,3.540150999181
0.25,3,3,15.0,1.000000000000,0.610123633335,0.306375931556,0.082376731041,0.001123704068,0.181269295342,0.388077546483,0.474500505841,0.308653142791,0.249719073983,0.181269295342,0.308653142791,2.150196856705,3.694484909879
